stockCode,stockNameEn,stockNameZh
00333,TOP FORM INT'L,黛麗斯國際
00334,CH DISPLAY OPT,華顯光電
00335,UPBEST GROUP,美建集團
00336,HUABAO INTL,華寶國際
00337,GREENLAND HK,綠地香港
00338,SHANGHAI PECHEM,上海石油化工股份
00340,CHINA MINING,中國礦業
00341,CAFE DE CORAL H,大家樂集團
00342,NEWOCEAN ENERGY,新海能源
00343,CULTURECOM HOLD,文化傳信
00345,VITASOY INT'L,VITASOY INT'L
00346,YANCHANG PETRO,延長石油國際
00347,ANGANG STEEL,鞍鋼股份
00348,CHINAHEALTHWISE,中國智能健康
00351,ASIA ENERGY LOG,亞洲能源物流
00352,FORTUNE SUN,富陽
00353,ENERGY INTINV,能源國際投資
00354,CHINASOFT INT'L,中國軟件國際
00355,CENTURY C INT'L,世紀城市國際
00357,HNA INFRA,航基股份
00358,JIANGXI COPPER,江西銅業股份
00359,HAISHENG JUICE,海升果汁
00360,NEW FOCUS AUTO,新焦點
00361,SINO GOLF HOLD,順龍控股
00362,C ZENITH-NEW,中國天化工
00363,SHANGHAI IND H,上海實業控股
00364,PING SHAN TEA,坪山茶業
00365,UNIS HOLDINGS,紫光控股
00366,LUKS GROUP (VN),陸氏集團（越南）
00367,CHUANG'S INT'L,莊士機構國際
00368,SINOTRANS SHIP,中外運航運
00369,WING TAI PPT,永泰地產
00370,CHINA BEST,國華
00371,BJ ENT WATER,北控水務集團
00372,ITC CORPORATION,德祥企業
00373,ALLIED GROUP,聯合集團
00374,FOUR SEAS MER,四洲集團
00375,YGM TRADING,YGM TRADING
00376,YUNFENG FIN,雲鋒金融
00377,HUAJUN HOLD,華君控股
00378,FDG KINETIC,五龍動力
00379,EG LEASING,恒嘉融資租賃
00380,SOFTPOWER INT,冠力國際
00381,KIU HUNG INT'L,僑雄國際
00382,WELLING HOLDING,威靈控股
00383,CHINA MED&HCARE,中國醫療網絡
00384,CHINA GAS HOLD,中國燃氣
00385,CHINNEY ALLI,建聯集團
00386,SINOPEC CORP,中國石油化工股份
00387,LEEPORT(HOLD),力豐（集團）
00388,HKEX,香港交易所
00389,TONTINE WINES,通天酒業
00390,CHINA RAILWAY,中國中鐵
00391,MEI AH ENTER,美亞娛樂資訊
00392,BEIJING ENT,北京控股
00393,GLORIOUS SUN,旭日企業
00395,SMARTAC GP CH,中國智能集團
00396,HING LEE (HK),興利（香港）控股
00397,JUN YANG FIN,君陽金融
00398,ORIENTAL WATCH,東方表行集團
00399,INNOVATIVE PHAR,領航醫藥生物科技
00400,COGOBUY,科通芯城
00401,WANJIA GROUP,萬嘉集團
00402,PEACEMAP HOLD,天下圖控股
00403,STARLITE HOLD,星光集團
00404,HSIN CHONG GP,新昌集團控股
00406,YAU LEE HOLD,有利集團
00408,YIP'S CHEMICAL,葉氏化工集團
00410,SOHO CHINA,ＳＯＨＯ中國
00411,LAM SOON (HK),南順（香港）
00412,CHINA INNO FIN,中國新金融
00413,SC HOLDINGS,南華集團控股
00416,BANKOFJINZHOU,錦州銀行
00417,TSE SUI LUEN,謝瑞麟
00418,FOUNDER HOLD,方正控股
00419,HUAYI TENCENT,華誼騰訊娛樂
00420,FOUNTAIN SET,福田實業
00422,VMEP HOLDINGS,越南製造加工出口
00423,HKET HOLDINGS,經濟日報集團
00425,MINTH GROUP,敏實集團
00426,ONE MEDIA GROUP,萬華媒體
00430,ORIENTAL EXPL,東方網庫
00431,G CHINA FIN,大中華金融
00432,PCPD,盈大地產
00433,NORTH MINING,北方礦業
00434,BOYAA,博雅互動
00436,NU ENVIRO,新宇環保
00438,IRICO NEWENERGY,彩虹新能源
00439,KUANGCHI,光啟科學
00440,DAH SING,大新金融
00442,KTL INT'L,KTL INT'L
00444,SINCEREWATCH HK,SINCEREWATCH HK
00445,CHINA FIRE,中國消防
00449,CHIGO HOLDING,志高控股
00450,HUNG HING PRINT,鴻興印刷集團
00451,GCL NEWENERGY,協鑫新能源
00455,TIANDA PHARMA,天大藥業
00456,NEW CITY DEV,新城市建設發展
00458,TRISTATE HOLD,聯亞集團
00459,MIDLAND IC&I,美聯工商舖
00460,SIHUAN PHARM,四環醫藥
00462,NATURAL DAIRY,天然乳品
00464,KENFORD GROUP,建福集團
00465,FUTONG TECH,富通科技
00467,UNITEDENERGY GP,聯合能源集團
00468,GAPACK,紛美包裝
00469,CAPXON INT'L,凱普松國際
00471,CMMB VISION,中播控股
00472,NEW SILKROAD,新絲路文旅
00474,HAO TIAN DEV,昊天發展集團
00475,ZHONG FA ZHAN,中發展控股
00476,CH DYNAMICS,中國動力控股
00479,CIL HOLDINGS,華建控股
00480,HKR INT'L,香港興業國際
00482,SANDMARTIN INTL,聖馬丁國際
00483,BAUHAUS INT'L,包浩斯國際
00484,FORGAME,雲遊控股
00485,CHINASINOSTAR,中國華星
00486,RUSAL,RUSAL
00487,SUCCESSUNIVERSE,實德環球
00488,LAI SUN DEV,麗新發展
00489,DONGFENG GROUP,東風集團股份
00491,SEE CORPORATION,漢傳媒
00493,GOME,國美電器
00494,LI & FUNG,利豐
00495,PALADIN,PALADIN
00496,KASEN,卡森國際
00497,CSI PROPERTIES,資本策略地產
00498,PYI CORP,保華集團
00499,QINGDAO HLDGS,青島控股
00500,FRONTIER SER,先豐服務集團
00503,LANSEN PHARMA,朗生醫藥
00505,HUAN YUE INTER,歡悅互娛
00506,CHINA FOODS,中國食品
00508,DINGYI GP INV,鼎億集團投資
00509,SUNSHINE,世紀陽光
00510,CASH FIN SER GP,時富金融服務集團
00511,TVB,電視廣播
00512,CHINAGRANDPHARM,遠大醫藥
00513,CONTINENTAL H,恆和集團
00515,TC ORI LIGHT,達進東方照明
00517,COSCO SHIP INTL,中遠海運國際
00518,TUNGTEX (HOLD),同得仕（集團）
00519,APPLIED DEV,實力建業
00520,XIABUXIABU,呷哺呷哺
00521,HNA HOLDING,海航實業股份
00522,ASM PACIFIC,ASM PACIFIC
00524,E-KONG GROUP,E-KONG GROUP
00525,GUANGSHEN RAIL,廣深鐵路股份
00526,LISI GP HOLD,利時集團控股
00527,RUIFENG RENEW,瑞風新能源
00528,KINGDOM HOLDING,金達控股
00529,SIS INT'L,SIS INT'L
00530,GOLDIN FIN HOLD,高銀金融
00531,SAMSON HOLDING,順誠
00532,WKK INTL (HOLD),WKK INTL (HOLD)
00533,GOLDLION HOLD,金利來集團
00535,GEMDALE PPT,金地商置
00536,TRADELINK,貿易通
00538,AJISEN (CHINA),味千（中國）
00539,VICTORY CITY,冠華國際控股
00540,SPEEDY GLOBAL,迅捷環球控股
00542,CENERIC,新嶺域集團
00543,PACIFIC ONLINE,太平洋網絡
00544,DAIDO GROUP,大同集團
00546,FUFENG GROUP,阜豐集團
00547,DIGITAL DOMAIN,數字王國
00548,SHENZHENEXPRESS,深圳高速公路股份
00549,QIFENG FIBER,奇峰化纖
00550,CINMEDIA,先傳媒
00551,YUE YUEN IND,裕元集團
00552,CHINACOMSERVICE,中國通信服務
00553,NANJING PANDA,南京熊貓電子股份
00554,HANS ENERGY,漢思能源
00555,REXLOT HOLDINGS,御泰中彩控股
00556,PAN ASIA ENVIRO,泛亞環保
00557,CITY E-SOLUTION,CITY E-SOLUTION
00558,LK TECH,力勁科技
00559,DETAI NEWENERGY,德泰新能源集團
00560,CHU KONG SHIP,珠江船務
00563,SH IND URBAN,上實城市開發
00564,ZMJ,鄭煤機
